Date,AAPL,ABBV,ADBE,AMD,AMZN,AXP,BAC,BMY,C,CL,COP,COST,CRM,CVX,EOG,GOOGL,GS,HD,INTC,JNJ,JPM,KMB,KO,LLY,LOW,MDLZ,META,MRK,MS,MSFT,NKE,NVDA,ORCL,OXY,PEP,PFE,PG,SBUX,SCHW,SLB,TGT,UNH,WFC,WMT,XOM
2018-01-02,40.2670783996582,68.77316284179688,177.6999969482422,10.979999542236328,59.45050048828125,88.29241180419922,24.510141372680664,45.08622741699219,56.313209533691406,61.3547248840332,42.0424919128418,168.25401306152344,102.63436889648438,88.64049530029297,80.42455291748047,53.188865661621094,212.2090301513672,152.64793395996094,39.330387115478516,110.13081359863281,85.9012680053711,87.65885162353516,35.02423095703125,74.89776611328125,78.3224868774414,34.698936462402344,179.8406982421875,41.2965202331543,40.62143325805664,78.69989776611328,56.42184066772461,4.922529220581055,41.107627868652344,60.01460266113281,90.64905548095703,23.443443298339844,72.28070831298828,47.81009292602539,45.835914611816406,54.65000915527344,53.06266403198242,191.993896484375,48.376739501953125,28.800230026245117,58.18549728393555
2018-01-03,40.260066986083984,69.84934997558594,181.0399932861328,11.550000190734863,60.209999084472656,88.8367691040039,24.42817497253418,45.12299346923828,56.48739242553711,61.117942810058594,42.81767272949219,170.27316284179688,103.49942016601562,89.28666687011719,81.62395477294922,54.0963134765625,210.2335662841797,153.44354248046875,37.99559020996094,111.18282318115234,85.98880004882812,86.19379425048828,34.947322845458984,75.30465698242188,78.6644287109375,34.838043212890625,183.0624237060547,41.237762451171875,40.73039627075195,79.06614685058594,56.41295623779297,5.246499538421631,42.059715270996094,60.84205627441406,90.41105651855469,23.617145538330078,72.19300842285156,48.7060546875,45.90721130371094,56.0728759765625,52.70173263549805,194.00794982910156,48.74892807006836,29.051456451416016,59.32827377319336
2018-01-04,40.44706344604492,69.45104217529297,183.22000122070312,12.119999885559082,60.47949981689453,90.31441497802734,24.747867584228516,45.70775604248047,57.18410873413086,61.5098876953125,43.31166076660156,168.95095825195312,104.86576080322266,89.00873565673828,81.638671875,54.30644989013672,213.17181396484375,154.66128540039062,37.298805236816406,111.17493438720703,87.22065734863281,87.18765258789062,35.439544677734375,75.64073944091797,79.27995300292969,34.91984176635742,182.72537231445312,41.906192779541016,41.353050231933594,79.76206970214844,56.37740707397461,5.274155616760254,42.47407150268555,60.80961227416992,90.85638427734375,23.668609619140625,72.70331573486328,48.88856887817383,46.16560745239258,57.46427917480469,51.66606903076172,194.85000610351562,49.358699798583984,29.07775115966797,59.410369873046875
2018-01-05,40.90756607055664,70.6600341796875,185.33999633789062,11.880000114440918,61.457000732421875,90.52037048339844,24.86263084411621,45.81137466430664,57.1083869934082,61.58339309692383,43.228057861328125,167.74478149414062,106.2616195678711,88.8628158569336,82.53634643554688,55.026573181152344,212.08450317382812,156.27682495117188,37.559043884277344,112.09249877929688,86.66072082519531,86.99624633789062,35.43184280395508,76.5694351196289,80.98965454101562,35.36984634399414,185.2234649658203,41.86213302612305,41.337501525878906,80.75094604492188,56.85729217529297,5.318850517272949,42.72972106933594,60.47702407836914,91.11743927001953,23.71364974975586,72.75115203857422,49.452701568603516,46.34382247924805,57.8573112487793,52.21528625488281,198.56553649902344,49.69129180908203,29.250097274780273,59.36247253417969
2018-01-08,40.75563430786133,69.52790069580078,185.0399932861328,12.279999732971191,62.34349822998047,89.6875228881836,24.690492630004883,45.82617950439453,56.44196701049805,61.67317581176758,43.66884231567383,168.39695739746094,107.00869750976562,89.30054473876953,82.93367767333984,55.22084426879883,209.00515747070312,155.90335083007812,37.559043884277344,112.23485565185547,86.78870391845703,87.9238510131836,35.37800598144531,76.1802749633789,80.10912322998047,35.18985366821289,186.64100646972656,41.61972427368164,41.166263580322266,80.83335876464844,57.36383056640625,5.48182487487793,43.1793212890625,60.9962043762207,90.59530639648438,23.44986915588379,73.13389587402344,49.20381164550781,46.548763275146484,58.800655364990234,52.70957565307617,195.119140625,49.12904739379883,29.682437896728516,59.62935256958008
2018-01-09,40.7509651184082,70.0520248413086,186.6999969482422,11.819999694824219,62.6349983215332,90.01885223388672,24.813451766967773,45.781768798828125,57.03265380859375,61.76300048828125,44.02605438232422,166.44032287597656,107.29376983642578,88.82113647460938,82.19789123535156,55.15046691894531,210.77308654785156,156.76394653320312,36.61882019042969,114.01461029052734,87.2286605834961,85.98765563964844,35.554908752441406,76.11833953857422,80.82723999023438,35.17348861694336,186.23458862304688,41.722572326660156,41.48538589477539,80.77845001220703,56.95504379272461,5.480341911315918,43.41826629638672,60.752830505371094,90.6644287109375,23.42414093017578,72.59966278076172,49.09596633911133,47.52891540527344,58.8792724609375,54.247406005859375,196.09144592285156,49.303253173828125,29.326053619384766,59.37615203857422
2018-01-10,40.74160385131836,69.66767120361328,187.11000061035156,11.960000038146973,62.71649932861328,90.64575958251953,25.042984008789062,45.90020751953125,57.290122985839844,61.093441009521484,43.81324005126953,165.66302490234375,106.94972229003906,89.39086151123047,82.41861724853516,55.01913070678711,211.09678649902344,155.70852661132812,35.67857360839844,113.88016510009766,88.18852233886719,84.63306427001953,35.43184280395508,76.15373992919922,80.50238037109375,34.878944396972656,186.20480346679688,42.089839935302734,41.97574234008789,80.41216278076172,57.07057189941406,5.523308277130127,43.18815231323242,60.23365783691406,90.20372772216797,23.462739944458008,72.13719177246094,49.626922607421875,47.724952697753906,59.429534912109375,55.494937896728516,194.63294982910156,49.98427963256836,29.1157283782959,58.90400695800781
2018-01-11,40.9730339050293,69.87178039550781,188.9199981689453,12.140000343322754,63.83399963378906,90.2069320678711,25.13315200805664,46.24068832397461,57.22197723388672,60.87297439575195,44.976016998291016,169.2010955810547,107.24461364746094,92.10751342773438,84.7217025756836,55.11379623413086,211.76083374023438,158.04656982421875,36.44251251220703,114.52875518798828,88.66044616699219,82.96925354003906,35.40877151489258,76.41023254394531,81.84451293945312,34.78075408935547,186.13543701171875,42.310203552246094,42.185890197753906,80.65025329589844,57.13277816772461,5.533185958862305,43.320919036865234,61.50728225708008,89.74303436279297,23.520648956298828,71.88204956054688,49.776241302490234,48.268497467041016,60.56939697265625,58.06056213378906,195.6660614013672,49.897178649902344,29.217966079711914,59.48565673828125
2018-01-12,41.3961296081543,70.62491607666016,195.0500030517578,12.020000457763672,65.26000213623047,90.42184448242188,25.567609786987305,46.49235916137695,58.19133377075195,60.930145263671875,45.63720703125,171.39895629882812,108.36522674560547,92.82308959960938,85.1337661743164,56.03561782836914,213.33782958984375,159.45916748046875,36.299800872802734,115.29605865478516,90.12425994873047,83.1754150390625,35.49337387084961,76.93209838867188,86.22142791748047,34.7480354309082,177.8085479736328,43.088829040527344,42.90196228027344,82.0420150756836,57.47046661376953,5.506022930145264,43.8165168762207,62.08324432373047,90.1269302368164,23.50777816772461,71.45144653320312,50.10807800292969,49.3555793762207,61.292606353759766,60.25747299194336,198.4874267578125,49.53290939331055,29.466264724731445,59.88937759399414
2018-01-16,41.18574905395508,72.13821411132812,192.4600067138672,11.90999984741211,65.24299621582031,89.857666015625,25.60859489440918,44.35317611694336,58.39578628540039,61.58339309692383,44.71763229370117,171.1220245361328,107.0381851196289,91.71839141845703,83.55535125732422,56.03810119628906,214.52471923828125,159.36988830566406,36.21586227416992,116.16613006591797,89.8042984008789,84.11772155761719,35.785614013671875,75.43731689453125,86.31544494628906,35.17348861694336,176.8370819091797,45.593666076660156,42.49721145629883,80.89745330810547,56.35963439941406,5.435153007507324,43.887325286865234,61.06110763549805,90.49549865722656,23.54637908935547,71.9378433227539,50.24082565307617,49.480342864990234,60.66371536254883,58.81380081176758,202.18568420410156,49.493309020996094,29.413684844970703,59.513031005859375
