pair,date,direction,abs_z,z_velocity,spread_vol,half_life,spread_slope,corr_recent,beta,coint_pvalue,market_vol,ret_a_5d,ret_b_5d,mom_a_252,mom_b_252,mom_rel,corr_baseline,corr_change,comembership,coint_recent_pvalue,vol_ratio,sector_dispersion,detach_max,adf_stat,hurst,vix_level,vix_change,vol_spike_max,n_pairs_extreme,z_rank,reverted,reverted_5,reverted_20,reverted_safe
GOOGL/AAPL,2020-01-10,1,2.1850991110572062,0.6500230427587286,0.011588577772368401,9.561535836831826,0.002185922075525888,0.5302273251065802,0.375,0.034,0.003824750650017813,0.048345168639508884,0.042456964414241405,0.28106972206208836,0.7168965089355708,-0.4358267868734824,0.5536815506477496,-0.023454225541169382,0.6825396825396826,0.1404949830297305,0.8463675010099441,0.05100345482135398,0.19985684580485374,-4.621815272852215,0.12011221175976906,6.071603428067865,-1.070097002021427,1.054887422574346,6,0.9056603773584906,0,0,0,0
MET/JPM,2020-01-10,1,2.2571198946439472,0.9173193558319785,0.019003836537392772,24.76524631358097,0.009186265232915622,0.6013029717320434,0.609,0.0329,0.003824750650017813,0.026652904638364117,-0.016544609821650624,0.22764978165699556,0.3331626213863963,-0.10551283972940073,0.7390181024686752,-0.13771513073663177,0.8492063492063492,0.458889671278231,0.9657511675176454,0.034420205843944666,0.11439519200143966,-2.3607854544949634,0.41099226584602977,6.071603428067865,-1.070097002021427,1.146645697833492,6,0.9245283018867925,1,0,1,1
ISRG/BSX,2020-01-14,1,3.001503403841047,3.978011613622675,0.016882857778347096,29.66243450661367,0.018031385278256682,0.3391026207623681,0.574,0.0401,0.003575110602280444,0.033558919023983336,-0.06225042919060275,0.1813894656103896,0.1890954606336619,-0.007705995023272294,0.5853387366468282,-0.24623611588446015,0.8333333333333334,0.7230762482217226,1.060742561064552,0.03934903319849692,0.36122618547323,-0.908212420780536,0.31964614636875127,5.675312137910642,-2.0355531039041406,0.803616173796548,7,0.9622641509433962,0,0,1,0
CVX/KMI,2020-01-14,-1,2.0215311313556867,-0.6264489057354536,0.014355411007611094,7.502774775575279,-0.0037977342080126506,0.2904096498014397,0.241,0.0216,0.003575110602280444,-0.023454598953028594,0.006075745372053021,0.08000271833458861,0.2676274043417606,-0.18762468600717197,0.48969363791853954,-0.19928398811709985,0.3888888888888889,0.0612496773244724,1.218561451202668,0.06681356897041538,0.09607872435672221,-3.059824676302212,0.4219430829128939,5.675312137910642,-2.0355531039041406,0.9537142298739479,7,0.8679245283018868,0,0,0,0
NEE/D,2020-01-14,1,2.258592022232316,0.7323011382663491,0.018746717698345867,22.490236769694466,0.005516540823354205,0.5931601641048416,1.484,0.0296,0.003575110602280444,0.026257057282288,-0.0031677115249744148,0.3932286377907759,0.23425901987845155,0.15896961791232433,0.6034496194632109,-0.010289455358369226,0.9365079365079365,0.33248011902992525,1.3489934592276795,0.022394843485598163,0.07692850519498828,-2.07085219140361,0.30052130478755745,5.675312137910642,-2.0355531039041406,0.8909677179570447,7,0.9056603773584906,0,0,0,0
TFC/C,2020-01-15,-1,3.4210509050072524,-2.739054140578716,0.009892407856723713,18.12057535982194,-0.006644140169528064,0.6473976067636864,0.58,0.033,0.0035181645207648217,-0.008668924702237568,0.02341304363005925,0.2080316065323662,0.3083574361549499,-0.10032582962258374,0.7606110792780093,-0.1132134725143229,0.9920634920634921,0.35376195737045524,0.9687405387592319,0.051166403814824915,0.10645696467867494,-1.5190944941929652,0.4709540421982265,5.584913036012673,-2.4012126511235135,0.9335926627929415,10,0.9622641509433962,1,1,1,1
CAT/GS,2020-01-15,-1,2.2540066314938776,-0.7292462382484521,0.019865534028911055,18.97935015186938,-0.004072048799239215,0.5923465143867784,0.576,0.0003,0.0035181645207648217,-0.01439121909954899,0.03085358404214844,0.13577891408116827,0.3300642813124375,-0.1942853672312692,0.5653626925128372,0.026983821873941216,0.8015873015873016,0.5277356663138354,1.1809916099397635,0.03742739519954829,-0.017676968106506985,-0.9431293481173643,0.5811423050951146,5.584913036012673,-2.4012126511235135,0.8128207433211515,10,0.8301886792452831,0,0,0,0
CAT/BLK,2020-01-15,-1,2.6615265725316473,-1.591366089187103,0.017621881879840075,14.508762095797287,-0.007339553003140208,0.4521436990265201,0.687,0.022,0.0035181645207648217,-0.01439121909954899,0.04465911828104563,0.13577891408116827,0.310098581625069,-0.1743196675439007,0.6369038294826431,-0.18476013045612305,0.7857142857142857,0.26686092712257564,1.4409442394175234,0.03742739519954829,0.183240480464943,-1.4744773214036033,0.5226304976259413,5.584913036012673,-2.4012126511235135,0.908441888884818,10,0.9056603773584906,0,0,0,0
MS/URI,2020-01-16,1,5.037431904056054,0.9092878209579034,0.023583151087250672,30.480115916930117,0.01796562504294162,0.5830989244173429,0.53,0.0063,0.0035606336763067243,0.08078107407089963,-0.03478272155927975,0.266553415390526,0.2939390182601498,-0.02738560286962377,0.6336600684221821,-0.05056114400483924,0.8253968253968254,0.6761440933970558,0.7334423235626307,0.05251742446821762,0.10563830504373906,1.6700729419071896,0.38627526449576166,5.6523307303855495,-1.9818118535673497,0.9922281269854143,11,0.9811320754716981,0,0,0,0
TFC/PNC,2020-01-16,1,2.392235752919012,2.068402018299529,0.007627405164481236,18.991977838218858,0.0037328872859979548,0.7195966337078836,0.632,0.0356,0.0035606336763067243,-0.005712145220790887,-0.04478090955417713,0.1956199483824781,0.26150890985573927,-0.06588896147326118,0.8182043757562213,-0.09860774204833767,0.9682539682539683,0.4751855662479182,1.1829444736743655,0.05251742446821762,0.16527926694886175,-1.7221638626492273,0.4079502552234672,5.6523307303855495,-1.9818118535673497,1.0428368623900888,11,0.9056603773584906,1,0,1,0
CRM/ISRG,2020-01-16,1,2.0024190558631654,-0.11953135378552426,0.03865306947271273,13.043752782493907,0.002362511494905767,0.2747710352063616,1.021,0.0265,0.0035606336763067243,0.017058540951567558,0.02111417134512905,0.20693641154120002,0.14810443676398588,0.058831974777214135,0.43720474472084786,-0.16243370951448627,0.3333333333333333,0.1578448724879714,1.0379946049938749,0.04079604549896018,0.27550423642629795,-2.1903276825264903,0.40983000672519926,5.6523307303855495,-1.9818118535673497,1.1115855646099422,11,0.7924528301886793,0,0,0,0
COF/PNC,2020-01-16,1,2.242592285378208,2.143285146788486,0.016694234612358694,7.308415878643897,0.010795654532101287,0.6707417854279886,0.804,0.0222,0.0035606336763067243,0.0039916454764217235,-0.04478090955417713,0.22568159221456963,0.26150890985573927,-0.03582731764116964,0.6939374684166253,-0.023195682988636723,0.9126984126984127,0.2708870990708526,1.0396900568438967,0.05251742446821762,0.16431191788202837,-2.7491381217282402,0.3995211043475725,5.6523307303855495,-1.9818118535673497,1.0428368623900888,11,0.8679245283018868,0,0,1,0
USB/JPM,2020-01-17,-1,2.6979268595196424,0.13783025197646825,0.031027647542583393,999.0,-0.007602387959021594,0.7596185514222232,0.736,0.0184,0.003556922673256858,-0.02356817798705002,0.015532382638124176,0.13616995221683448,0.3238055132835278,-0.18763556106669332,0.8124389747762412,-0.05282042335401793,0.9365079365079365,0.8732497501199867,0.9126246660204981,0.05384679080197171,0.17723167503436033,0.6348763426835147,0.5288260403302673,5.64643969567482,-1.9866031947306997,1.1019079784447738,10,0.9056603773584906,0,0,0,0
AEP/XEL,2020-01-17,1,2.16271873820977,1.2996629754165259,0.006339148851527149,13.474471906879089,0.0023770103535128476,0.8420398936768765,0.947,0.0018,0.003556922673256858,0.043759944163712206,0.0426596460623192,0.2915941877225041,0.2812083448814797,0.010385842841024395,0.8573387467366822,-0.015298853059805717,1.0,0.3137530300052119,0.8739703131412698,0.019077540986955525,0.04268306529173371,-1.335231910097879,0.34923060310813725,5.64643969567482,-1.9866031947306997,0.8432134648861522,10,0.8301886792452831,0,0,1,0
MET/USB,2020-01-17,1,2.548246873498896,0.12567572658165194,0.0386939170205264,42.79981132186845,0.00591072410795363,0.5948401849569781,0.785,0.0375,0.003556922673256858,0.002664428449145273,-0.02356817798705002,0.19230918749620773,0.13616995221683448,0.056139235279373256,0.7275684905940437,-0.1327283056370656,0.7698412698412699,0.8904182719758555,1.089345447243346,0.05384679080197171,0.1720344331333754,0.027433606562187865,0.42803286095740334,5.64643969567482,-1.9866031947306997,0.9993172561450885,10,0.8679245283018868,0,0,0,0
AMZN/GOOGL,2020-01-17,-1,2.107092505941937,-1.1198741728580575,0.02375964510176584,114.00614433084652,-0.007968621055936062,0.38639525818213805,0.826,0.0359,0.003556922673256858,-0.009840277959215271,0.034770732769316304,0.09647883011460845,0.2972077602824945,-0.20072893016788607,0.5948850152032704,-0.20848975702113237,0.5634920634920635,0.5042741561279561,1.0959109668079527,0.07647423026119661,0.24341903546385163,-1.0233272228345254,0.3165058861340381,5.64643969567482,-1.9866031947306997,1.2188873949306138,10,0.8113207547169812,0,0,0,0
